,org.minizinc.mip.coin-bc,cp-sat
coloring,0.13044500350952148,0.21249985694885254
knapsack_problem,inf,inf
magic_square,0.42055702209472656,0.25801801681518555
n_queens,0.16548991203308105,0.2349870204925537
simple_sudoku,0.19821977615356445,0.8102521896362305
